AtomicNumber,Element,Symbol,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Period,Group,Phase,Radioactive,Natural,Metal,Nonmetal,Type,MeltingPoint,BoilingPoint,NumberofIsotopes,Discoverer,Year,NumberofShells
54,Xenon,Xe,131.293,77,54,54,5,18,gas,,yes,,yes,Noble Gas,161.45,165.03,31,Ramsay and Travers,1898,5
55,Caesium,Cs,132.905,78,55,55,6,1,solid,,yes,yes,,Alkali Metal,301.7,944,22,Bunsen and Kirchoff,1860,6
56,Barium,Ba,137.327,81,56,56,6,2,solid,,yes,yes,,Alkaline Earth Metal,1002.15,2170,25,Davy,1808,6
57,Lanthanum,La,138.905,82,57,57,6,3,solid,,yes,yes,,Lanthanide,1193.15,3737,19,Mosander,1839,6
58,Cerium,Ce,140.116,82,58,58,6,,solid,,yes,yes,,Lanthanide,1071.15,3716,19,Berzelius,1803,6
59,Praseodymium,Pr,140.908,82,59,59,6,,solid,,yes,yes,,Lanthanide,1204.15,3793,15,von Welsbach,1885,6
60,Neodymium,Nd,144.242,84,60,60,6,,solid,,yes,yes,,Lanthanide,1289.15,3347,16,von Welsbach,1885,6
61,Promethium,Pm,145,84,61,61,6,,artificial,yes,,yes,,Lanthanide,1204.15,3273,14,Marinsky et al.,1945,6
62,Samarium,Sm,150.36,88,62,62,6,,solid,,yes,yes,,Lanthanide,1345.15,2067,17,Boisbaudran,1879,6
63,Europium,Eu,151.964,89,63,63,6,,solid,,yes,yes,,Lanthanide,1095.15,1802,21,Demarcay,1901,6
64,Gadolinium,Gd,157.25,93,64,64,6,,solid,,yes,yes,,Lanthanide,1585.15,3546,17,de Marignac,1880,6
65,Terbium,Tb,158.925,94,65,65,6,,solid,,yes,yes,,Lanthanide,1630.15,3503,24,Mosander,1843,6
66,Dysprosium,Dy,162.5,97,66,66,6,,solid,,yes,yes,,Lanthanide,1680.15,2840,21,de Boisbaudran,1886,6
67,Holmium,Ho,164.93,98,67,67,6,,solid,,yes,yes,,Lanthanide,1743.15,2993,29,Delafontaine and Soret,1878,6
68,Erbium,Er,167.259,99,68,68,6,,solid,,yes,yes,,Lanthanide,1795.15,3503,16,Mosander,1843,6
69,Thulium,Tm,168.934,100,69,69,6,,solid,,yes,yes,,Lanthanide,1818.15,2223,18,Cleve,1879,6
70,Ytterbium,Yb,173.054,103,70,70,6,,solid,,yes,yes,,Lanthanide,1097.15,1469,16,Marignac,1878,6
71,Lutetium,Lu,174.967,104,71,71,6,,solid,,yes,yes,,Lanthanide,1936.15,3675,22,Urbain/ von Welsbach,1907,6
72,Hafnium,Hf,178.49,106,72,72,6,4,solid,,yes,yes,,Transition Metal,2500.15,4876,17,Coster and von Hevesy,1923,6
73,Tantalum,Ta,180.948,108,73,73,6,5,solid,,yes,yes,,Transition Metal,3269.15,5731,19,Ekeberg,1801,6
74,Wolfram,W,183.84,110,74,74,6,6,solid,,yes,yes,,Transition Metal,3680.15,5828,22,J. and F. d'Elhuyar,1783,6
75,Rhenium,Re,186.207,111,75,75,6,7,solid,,yes,yes,,Transition Metal,3453.15,5869,21,"Noddack, Berg, and Tacke",1925,6
76,Osmium,Os,190.23,114,76,76,6,8,solid,,yes,yes,,Transition Metal,3300.15,5285,19,Tennant,1803,6
77,Iridium,Ir,192.217,115,77,77,6,9,solid,,yes,yes,,Transition Metal,2716.15,4701,25,Tennant,1804,6
78,Platinum,Pt,195.084,117,78,78,6,10,solid,,yes,yes,,Transition Metal,2045.15,4098,32,Ulloa/Wood,1735,6
79,Gold,Au,196.967,118,79,79,6,11,solid,,yes,yes,,Transition Metal,1337.73,3129,21,Prehistoric,2450 BC,6
80,Mercury,Hg,200.59,121,80,80,6,12,liq,,yes,yes,,Transition Metal,234.43,630,26,Prehistoric,1500 BC,6
81,Thallium,Tl,204.383,123,81,81,6,13,solid,,yes,yes,,Metal,577.15,1746,28,Crookes,1861,6
82,Lead,Pb,207.2,125,82,82,6,14,solid,,yes,yes,,Metal,600.75,2022,29,Prehistoric,6500 BC,6
83,Bismuth,Bi,208.98,126,83,83,6,15,solid,,yes,yes,,Metal,544.67,1837,19,Geoffroy the Younger,1753,6
84,Polonium,Po,210,126,84,84,6,16,solid,yes,yes,,,Metalloid,527.15,1235,34,Curie,1898,6
85,Astatine,At,210,125,85,85,6,17,solid,yes,yes,,yes,Noble Gas,575.15,610,21,Corson et al.,1940,6
86,Radon,Rn,222,136,86,86,6,18,gas,yes,yes,yes,,Alkali Metal,202.15,211.3,20,Dorn,1900,6
87,Francium,Fr,223,136,87,87,7,1,solid,yes,yes,yes,,Alkaline Earth Metal,300.15,950,21,Perey,1939,7
88,Radium,Ra,226,138,88,88,7,2,solid,yes,yes,yes,,Actinide,973.15,2010,15,Pierre and Marie Curie,1898,7
89,Actinium,Ac,227,138,89,89,7,3,solid,yes,yes,yes,,Actinide,1323.15,3471,11,Debierne/Giesel,1899,7
90,Thorium,Th,232.038,142,90,90,7,,solid,yes,yes,yes,,Actinide,2028.15,5061,12,Berzelius,1828,7
91,Protactinium,Pa,231.036,140,91,91,7,,solid,yes,yes,yes,,Actinide,1873.15,4300,14,Hahn and Meitner,1917,7
92,Uranium,U,238.029,146,92,92,7,,solid,yes,yes,yes,,Actinide,1405.15,4404,15,Peligot,1841,7
93,Neptunium,Np,237,144,93,93,7,,artificial,yes,,yes,,Actinide,913.15,4273,153,McMillan and Abelson,McMillan and Abelson,7
94,Plutonium,Pu,244,150,94,94,7,,artificial,yes,,yes,,Actinide,913.15,3501,163,Seaborg et al.,1940,7
95,Americium,Am,243,148,95,95,7,,artificial,yes,,yes,,Actinide,1267.15,2880,133,Seaborg et al.,1944,7
96,Curium,Cm,247,151,96,96,7,,artificial,yes,,yes,,Actinide,1340.15,3383,133,Seaborg et al.,1944,7
97,Berkelium,Bk,247,150,97,97,7,,artificial,yes,,yes,,Actinide,1259.15,983,83,Seaborg et al.,1949,7
98,Californium,Cf,251,153,98,98,7,,artificial,yes,,yes,,Actinide,1925.15,1173,123,Seaborg et al.,1950,7
99,Einsteinium,Es,252,153,99,99,7,,artificial,yes,,yes,,Actinide,1133.15,,123,Ghiorso et al.,1952,7
100,Fermium,Fm,257,157,100,100,7,,artificial,yes,,yes,,Actinide,,,103,Ghiorso et al.,1953,7
101,Mendelevium,Md,258,157,101,101,7,,artificial,yes,,yes,,Actinide,,,33,Ghiorso et al.,1955,7
102,Nobelium,No,259,157,102,102,7,,artificial,yes,,yes,,Actinide,,,73,Ghiorso et al.,1958,7
103,Lawrencium,Lr,262,159,103,103,7,,artificial,yes,,yes,,Actinide,,,203,Ghiorso et al.,1961,7
104,Rutherfordium,Rf,261,157,104,104,7,4,artificial,yes,,yes,,Transactinide,,,,Ghiorso et al.,1969,7
105,Dubnium,Db,262,157,105,105,7,5,artificial,yes,,yes,,Transactinide,,,,Ghiorso et al.,1970,7
106,Seaborgium,Sg,266,160,106,106,7,6,artificial,yes,,yes,,Transactinide,,,,Ghiorso et al.,1974,7
107,Bohrium,Bh,264,157,107,107,7,7,artificial,yes,,yes,,Transactinide,,,,Armbruster and M�nzenberg,1981,7
108,Hassium,Hs,267,159,108,108,7,8,artificial,yes,,yes,,Transactinide,,,,Armbruster and M�nzenberg,1983,7
109,Meitnerium,Mt,268,159,109,109,7,9,artificial,yes,,yes,,Transactinide,,,,"GSI, Darmstadt, West Germany",1982,7
110,Darmstadtium,Ds,271,161,110,110,7,10,artificial,yes,,yes,,Transactinide,,,,,1994,7
111,Roentgenium,Rg,272,161,111,111,7,11,artificial,yes,,yes,,Transactinide,,,,,1994,7
112,Copernicium,Cn,285,173,112,112,7,12,artificial,yes,,yes,,Transactinide,,,,,1996,7
113,Nihonium,Nh,284,171,113,113,7,13,artificial,yes,,yes,,,,,,,2004,7
114,Flerovium,Fl,289,175,114,114,7,14,artificial,yes,,yes,,Transactinide,,,,,1999,7
115,Moscovium,Mc,288,173,115,115,7,15,artificial,yes,,yes,,,,,,,2010,7
116,Livermorium,Lv,292,176,116,116,7,16,artificial,yes,,yes,,Transactinide,,,,,2000,7
117,Tennessine,Ts,295,178,117,117,7,17,artificial,yes,,,yes,,,,,,2010,7
118,Oganesson,Og,294,176,118,118,7,18,artificial,yes,,,yes,Noble Gas,,,,,2006,7
